               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10508,            0.012819,            0.068908,            0.007533,                0.48,            0.017743,           0.0046428,             0.07001,            0.010476,            0.049493,              0.0973,              0.0003,              0.0003
                   1,             0.10364,            0.015656,            0.073829,           0.0070856,                0.46,            0.018065,           0.0056544,            0.066749,            0.011241,            0.048942,            0.093699,          0.00069861,          0.00069861
                   2,            0.095004,            0.022072,            0.069778,           0.0075405,                 0.5,            0.021664,           0.0061399,            0.060676,            0.012599,            0.047989,            0.090096,           0.0010956,           0.0010956
                   3,            0.082456,            0.021026,            0.061903,           0.0092997,                0.66,            0.022402,           0.0041397,            0.054497,            0.013808,            0.046582,            0.086491,           0.0014911,           0.0014911
                   4,            0.078343,            0.022673,            0.062515,              0.0122,                0.94,            0.028414,           0.0056501,            0.051298,            0.014315,            0.045265,            0.082885,            0.001885,            0.001885
                   5,            0.078413,            0.026858,            0.059653,            0.012046,                0.98,            0.058618,            0.013809,            0.047717,            0.014706,            0.043495,            0.079277,           0.0022772,           0.0022772
                   6,            0.068988,             0.02388,            0.054761,            0.011598,                   1,             0.10816,            0.028894,            0.042618,            0.015104,            0.040453,            0.075668,           0.0026679,           0.0026679
                   7,            0.059576,            0.024766,            0.044997,            0.010932,                   1,              0.3813,             0.13657,            0.039507,            0.014394,            0.035648,            0.072057,            0.003057,            0.003057
                   8,            0.064147,            0.022605,            0.043769,            0.044274,                   1,             0.17095,            0.053466,             0.04577,            0.011818,            0.031147,            0.068445,           0.0034446,           0.0034446
                   9,            0.063135,            0.020514,             0.03817,             0.05185,                0.74,            0.059706,            0.018826,            0.052535,            0.010336,            0.027996,            0.064831,           0.0038305,           0.0038305
                  10,            0.071709,             0.02365,              0.0407,             0.17938,                0.88,             0.19721,            0.071257,            0.042157,            0.010557,            0.027733,            0.061215,           0.0042149,           0.0042149
                  11,            0.066127,            0.021646,            0.037366,             0.11307,                 0.8,             0.13064,            0.065307,            0.050789,           0.0097818,            0.027782,            0.057598,           0.0045976,           0.0045976
                  12,            0.062599,            0.021507,            0.035268,             0.28627,                0.58,             0.47353,             0.28562,            0.053289,            0.010639,            0.028716,            0.053979,           0.0049788,           0.0049788
                  13,            0.061122,            0.018722,            0.033271,             0.40269,             0.70592,             0.51792,             0.15509,            0.047728,            0.011132,            0.028933,            0.050358,           0.0053584,           0.0053584
